tag,mark,title,url,subscribe
torrent,cache,Torrentinim,https://github.com/sergiotapia/torrentinim,""
"cloud,proxy",cache,Traefik,https://github.com/traefik/traefik,""
wireles,later,Unifi-network-application,https://github.com/linuxserver/docker-unifi-network-application,""
data-optimize,cache,Unmanic,https://github.com/Unmanic/unmanic,""
monitor,cache,Uptime Kuma,https://github.com/louislam/uptime-kuma,""
latex,cache,VS Code LaTeX Devcontainer,https://github.com/a-nau/latex-devcontainer,""
kubernete,cache,Viddy,https://github.com/sachaos/viddy,""
update,cache,Watchtower,https://containrrr.dev/watchtower,""
translate,cache,Weblate,https://github.com/WeblateOrg/weblate,""
os,cache,Windows,https://github.com/dockur/windows,""
host,cache,YunoHost,https://yunohost.org,""
learn,cache,anki-sync-server,https://github.com/yangchuansheng/anki-sync-server,""
activitywatch,cache,aw-watcher-input,https://github.com/ActivityWatch/aw-watcher-input,""
activitywatch,cache,aw-watcher-utilization,https://github.com/Alwinator/aw-watcher-utilization,""
host,cache,coolify,https://github.com/coollabsio/coolify,""
image-board,cache,danbooru,https://github.com/danbooru/danbooru,""
image,cache,dive,https://github.com/wagoodman/dive,""
erp,cache,eShop,https://github.com/dotnet/eShop,""
telephony,cache,fonoster,https://github.com/fonoster/fonoster,""
git,cache,git-sync,https://github.com/kubernetes/git-sync,""
"cloud,message",cache,gotify,https://github.com/gotify/server,""
jackett,mark,jackett.md,https://gist.github.com/wilmardo/cffb41d694edd069c28d585d2e20e0fc,""
git,later,jj,https://github.com/jj-vcs/jj,""
finance,cancel,maybe,https://github.com/maybe-finance/maybe,""
file,cache,miniserve,https://github.com/svenstaro/miniserve,""
music,cache,mpd,https://github.com/MusicPlayerDaemon/MPD,""
firewall,cache,pfSense,https://github.com/pfsense/pfsense,""
backup,later,restic,https://github.com/restic/restic,""
backup,cache,rsnapshot,https://github.com/linuxserver/docker-rsnapshot,""
"monitor,drive",later,scrutiny,https://github.com/AnalogJ/scrutiny,""
track,cache,solidtime,https://github.com/solidtime-io/solidtime,""
webdav,cache,webdav,https://github.com/hacdias/webdav,""
serve,cache,辞書,https://github.com/denonia/jisho,""
