tag,mark,title,url,subscribe
presence,cache,Cord – Tailor Your Presence Like Never Before,https://github.com/vyfor/cord.nvim),""
image,cache,Discord Image Gallery,https://github.com/ELginas/discord-image-gallery),""
obsidian,cache,Discord Share,https://github.com/phd20/obsidian-discord-share),""
tool,cache,DiscordChatExporter,https://github.com/Tyrrrz/DiscordChatExporter),""
bot,cache,JMusicBot,https://github.com/jagrosh/MusicBot),""
joplin,cache,Joplin Discord Rich Presence Plugin,https://github.com/mahancoder/joplin-discord-rich-presence),""
