package,title,topic,maintainer,url,readme,source,mark
aboensis,Aboensis – A late medieval OpenType cursive font,"proportional font,font support,medieval font,display font,otf font,bookhand font,calligraphic font",Tommi Syrjänen,https://www.ctan.org/pkg/aboensis,https://mirrors.ctan.org/fonts/aboensis/README,https://www.ctan.org/tex-archive/fonts/aboensis,""
archivo,Archivo – The Archivo font face with support for LaTeX and pdfLaTeX,"font ttf,font support,body font,font t1enc,font,font serif,proportional font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/archivo,https://mirrors.ctan.org/fonts/archivo/README,https://github.com/ccebinger/CTAN_Archivo,""
arsclassica,ArsClassica – A different view of the ClassicThesis package,dissertation,Lorenzo Pantieri,https://www.ctan.org/pkg/arsclassica,https://mirrors.ctan.org/macros/latex/contrib/arsclassica/README,https://www.ctan.org/tex-archive/macros/latex/contrib/arsclassica,""
arvo,Arvo – The Arvo font face with support for LaTeX and pdfLaTeX,"font ttf,font,font t1enc,body font,font support,proportional font,font serif",Carl-Clemens Ebinger,https://www.ctan.org/pkg/arvo,https://mirrors.ctan.org/fonts/arvo/README,https://github.com/ccebinger/CTAN_Arvo,""
biblatex,BibLaTeX – Sophisticated Bibliographies in LaTeX,"biblatex,biblio,e-tex","Philip Kime,Philipp Lehman (inactive)",https://www.ctan.org/pkg/biblatex,https://mirrors.ctan.org/macros/latex/contrib/biblatex/README,https://github.com/plk/biblatex,""
geneve_1564,Bible de Genève 1564,"book,bible",raphink,\,\,https://github.com/raphink/geneve_1564,""
cclicenses,CClicenses – Typeset Creative Commons licence logos,logo,Gianluca Pignalberi,https://www.ctan.org/pkg/cclicenses,https://mirrors.ctan.org/macros/latex/contrib/cclicenses/README,https://www.ctan.org/tex-archive/macros/latex/contrib/cclicenses,""
cascadia-code,CascadiaCode – The Cascadia Code font with support for LaTeX and pdfLaTeX,"font,otf font,font support,font type1,font t1enc,sans font,monospaced font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/cascadia-code,https://mirrors.ctan.org/fonts/cascadia-code/README,https://github.com/ccebinger/CTAN_cascadia-code,""
circuitikz,CircuiTikZ – Draw electrical networks with TikZ,"graphics,electronic,circuit diagram,pgf tikz","Stefan Erhardt,Romano Giannetti,Stefan Lindner,Massimo Redaelli",https://www.ctan.org/pkg/circuitikz,https://mirrors.ctan.org/graphics/pgf/contrib/circuitikz/README.md,https://github.com/circuitikz/circuitikz,""
circuit-macros,Circuit_macros – M4 macros for electric circuit diagrams,"circuit diagram,electronic",Dwight Aplevich,https://www.ctan.org/pkg/circuit-macros,https://mirrors.ctan.org/graphics/circuit_macros/README,https://gitlab.com/aplevich/circuit_macros,""
classicthesis,ClassicThesis – A “classically styled” thesis package,dissertation,André Miede,https://www.ctan.org/pkg/classicthesis,https://mirrors.ctan.org/macros/latex/contrib/classicthesis/README,https://bitbucket.org/amiede/classicthesis,""
cormorantgaramond,CormorantGaramond – Cormorant Garamond family of fonts,"font type1,font,font support,font serif,font ttf,font t1enc,proportional font,body font",Bob Tennent,https://www.ctan.org/pkg/cormorantgaramond,https://mirrors.ctan.org/fonts/cormorantgaramond/README,https://www.ctan.org/tex-archive/fonts/cormorantgaramond,""
creationboites,CreationBoites – Macros to create simple tcolorbox with some customizations,"colour,boxing",Cédric Pierquet,https://www.ctan.org/pkg/creationboites,https://mirrors.ctan.org/macros/latex/contrib/creationboites/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/creationboites,""
crimsonpro,CrimsonPro – CrimsonPro fonts with LaTeX support,"font t1enc,font type1,font,font ttf,proportional font,font serif",Bob Tennent,https://www.ctan.org/pkg/crimsonpro,https://mirrors.ctan.org/fonts/crimsonpro/README,https://www.ctan.org/tex-archive/fonts/crimsonpro,""
dcpic,DCpic – Commutative diagrams in a LaTeX and TeX documents,commutative diagrams,Pedro Quaresma,https://www.ctan.org/pkg/dcpic,https://mirrors.ctan.org/macros/generic/diagrams/dcpic/README,https://www.ctan.org/tex-archive/macros/generic/diagrams/dcpic,""
dpcircling,DPcircling – Decorated text boxes using TikZ,"boxing,pgf tikz,decoration",Oura Mitsuaki,https://www.ctan.org/pkg/dpcircling,https://mirrors.ctan.org/graphics/pgf/contrib/dpcircling/README.md,https://github.com/domperor/DPcircling,""
dsserif,DSSerif – A double-struck serifed font for mathematical use,"font,font serif,maths font,bbd font,font type1",Michael Sharpe,https://www.ctan.org/pkg/dsserif,https://mirrors.ctan.org/fonts/dsserif/README,https://www.ctan.org/tex-archive/fonts/dsserif,""
dviasm,DVIasm – A utility for editing DVI files,dvi structure,"Hironobu Yamashita,Jin-Hwan Cho (inactive),Khaled Hosny (inactive)",https://www.ctan.org/pkg/dviasm,https://mirrors.ctan.org/dviware/dviasm/README,https://github.com/aminophen/dviasm,later
dnd-5e-latex-template,DnD 5e LaTeX Template,dnd,rpgtex,\,\,https://github.com/rpgtex/DND-5e-LaTeX-Template,""
drawing-with-metapost,Drawing-with-METAPOST – How to draw technical diagrams with METAPOST,"metapost documentation,tutorial",Toby Thurston,https://www.ctan.org/pkg/drawing-with-metapost,https://mirrors.ctan.org/info/drawing-with-metapost/README.md,https://github.com/thruston/Drawing-with-Metapost,""
evangelion-jfm,Evangelion-JFM – A Japanese font metric supporting many advanced features,"luatex,font support,chinese,japanese",Jing Huang,https://www.ctan.org/pkg/evangelion-jfm,https://mirrors.ctan.org/macros/luatex/generic/evangelion-jfm/README.md,https://github.com/RadioNoiseE/Evangelion-JFM,""
fadingimage,FadingImage – Add full width fading pictures at the top or bottom of a page,"graphics include,background,pgf tikz",Mingyu Xia,https://www.ctan.org/pkg/fadingimage,https://mirrors.ctan.org/macros/latex/contrib/fadingimage/README.md,https://github.com/xiamyphys/fadingimage,""
fixme,FiXme – Collaborative annotation tool for LaTeX,"editorial,notes",Didier Verna,https://www.ctan.org/pkg/fixme,https://mirrors.ctan.org/macros/latex/contrib/fixme/README.md,https://github.com/didierverna/fixme,""
figsize,FigSize – Auto-size graphics,graphics,Anthony A. Tanbakuchi,https://www.ctan.org/pkg/figsize,https://mirrors.ctan.org/macros/latex/contrib/figsize/README,https://www.ctan.org/tex-archive/macros/latex/contrib/figsize,""
fitr,FitR – Set a rectangular destination and jump to it,"pdf forms,visual support,adobe distiller",Donald P. Story (deceased),https://www.ctan.org/pkg/fitr,https://mirrors.ctan.org/macros/latex/contrib/fitr/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/fitr,""
gfsbodoni,GFS Bodoni – A Greek and Latin font based on Bodoni,"font,greek font,font type1,otf font","The Greek Font Society,Antonis Tsolomitis",https://www.ctan.org/pkg/gfsbodoni,https://mirrors.ctan.org/fonts/greek/gfs/gfsbodoni/README,https://www.ctan.org/tex-archive/fonts/greek/gfs/gfsbodoni,""
gfscomplutum,GFS Complutum – A Greek font with a long history,"font,greek font,font type1,otf font","George D. Matthiopoulos,Antonis Tsolomitis",https://www.ctan.org/pkg/gfscomplutum,https://mirrors.ctan.org/fonts/greek/gfs/gfscomplutum/README,https://www.ctan.org/tex-archive/fonts/greek/gfs/gfscomplutum,""
gfsneohellenic,GFS NeoHellenic – A font in the Neo-Hellenic style,"greek font,font,otf font","The Greek Font Society,Antonis Tsolomitis",https://www.ctan.org/pkg/gfsneohellenic,https://mirrors.ctan.org/fonts/greek/gfs/gfsneohellenic/README,https://www.ctan.org/tex-archive/fonts/greek/gfs/gfsneohellenic,""
gfsdidot,GFSDidot – A Greek font based on Didot’s work,"font,font t1enc,font type1,multilingual font,otf font,greek font,font serif,body font","Alain Aubord,The Greek Font Society,George D. Matthiopoulos,Antonis Tsolomitis",https://www.ctan.org/pkg/gfsdidot,https://mirrors.ctan.org/fonts/greek/gfs/gfsdidot/README,https://www.ctan.org/tex-archive/fonts/greek/gfs/gfsdidot,""
gfsdidotclassic,GFSDidotClassic – The classic version of GFSDidot,"body font,greek font,otf font,font",Antonis Tsolomitis,https://www.ctan.org/pkg/gfsdidotclassic,https://mirrors.ctan.org/fonts/greek/gfs/gfsdidotclassic/README,https://www.ctan.org/tex-archive/fonts/greek/gfs/gfsdidotclassic,""
gastex,GasTeX – Graphs and Automata Simplified in TeX,graphics in tex,Paul Gastin,https://www.ctan.org/pkg/gastex,https://mirrors.ctan.org/graphics/gastex/README,https://www.ctan.org/tex-archive/graphics/gastex,""
hsrmbeamertheme,HSRM Beamer Theme,presentation,benjamin-weiss,\,\,https://github.com/benjamin-weiss/hsrmbeamertheme,later
jeuxcartes,JeuxCartes – Macros to insert playing cards,"cards,pgf tikz,games",Cédric Pierquet,https://www.ctan.org/pkg/jeuxcartes,https://mirrors.ctan.org/macros/latex/contrib/jeuxcartes/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/jeuxcartes,""
junicode,Junicode – A TrueType and OpenType font family for mediaevalists,"historical font,font type1,otf font,font support,medieval font,font","Peter S. Baker,Bob Tennent",https://www.ctan.org/pkg/junicode,https://mirrors.ctan.org/fonts/junicode/README,https://github.com/psb1558/Junicode-font,""
latex-brochure,LaTeX-brochure – A publicity flyer for LaTeX,advertisements,Peter Flynn,https://www.ctan.org/pkg/latex-brochure,https://mirrors.ctan.org/info/latex-brochure/README,https://www.ctan.org/tex-archive/info/latex-brochure,""
latex4musicians,LaTeX4Musicians – A guide for combining LaTeX and music,"tutorial,tutorial latex,music",Guido Gonzato,https://ctan.org/pkg/latex4musicians,https://mirrors.ctan.org/info/latex4musicians/README,https://ctan.org/tex-archive/info/latex4musicians,""
latex4wp,LaTeX4WP – A LaTeX guide specifically designed for word processor users,"facility surveys,documentation",Guido Gonzato,https://www.ctan.org/pkg/latex4wp,https://mirrors.ctan.org/info/latex4wp/README.md,https://www.ctan.org/tex-archive/info/latex4wp,""
latexscreenshooter,LaTeXScreenShooter – Capture screenshots within LaTeX documents,graphics include,"Xavier Freléchoz,Quentin Vaney",https://www.ctan.org/pkg/latexscreenshooter,https://mirrors.ctan.org/graphics/latexscreenshooter/README.md,https://www.ctan.org/tex-archive/graphics/latexscreenshooter,""
latexgit,LaTeXgit – A LaTeX git wrapper,"document management,version control",Camil Staps,https://www.ctan.org/pkg/latexgit,https://mirrors.ctan.org/macros/latex/contrib/latexgit/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/latexgit,""
m-tx,M-Tx – A preprocessor for pmx,music,"Bob Tennent,Dirk Laurie (deceased)",https://www.ctan.org/pkg/m-tx,https://mirrors.ctan.org/support/m-tx/README,https://www.ctan.org/tex-archive/support/m-tx,""
mpchess,MPchess – Drawing chess boards and positions with METAPOST,"games,metapost use,graphics metapost,graphics",Maxime Chupin,https://www.ctan.org/pkg/mpchess,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mpchess/README.md,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/mpchess,""
makecirc,MakeCirc – A METAPOST library for drawing electrical circuit diagrams,circuit diagram,Gustavo Sebastián Bustamante Argañaraz,https://www.ctan.org/pkg/makecirc,https://mirrors.ctan.org/graphics/metapost/contrib/macros/makecirc/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/makecirc,""
makor2,Makor 2 – Typeset pointed Hebrew using Omega,"hebrew,omega",Alan Hoenig,https://www.ctan.org/pkg/makor2,\,https://www.ctan.org/tex-archive/language/hebrew/makor,""
marcellus,Marcellus – Marcellus fonts with LaTeX support,"font support,proportional font,body font,font type1,font t1enc,font ttf,font",Bob Tennent,https://www.ctan.org/pkg/marcellus,https://mirrors.ctan.org/fonts/marcellus/README,https://www.ctan.org/tex-archive/fonts/marcellus,""
wheelchart,Matthias Floré,"graphics,pgf tikz",Matthias Floré,https://www.ctan.org/pkg/wheelchart,https://mirrors.ctan.org/graphics/pgf/contrib/wheelchart/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/wheelchart,""
memoize,Memoize – Externalization of graphics and memoization of compilation results in general,"external code,graphics,conditional compilation,generic macros,compilation",Sašo Živanović,https://www.ctan.org/pkg/memoize,https://mirrors.ctan.org/macros/generic/memoize/README.md,https://github.com/sasozivanovic/memoize,""
milsymb,MilSymb – LaTeX package for TikZ based drawing of military symbols as per NATO APP-6(C),"graphics,symbol support,pgf tikz",Damian Crosby,https://www.ctan.org/pkg/milsymb,https://mirrors.ctan.org/graphics/pgf/contrib/milsymb/README.md,https://github.com/ralphieraccoon/MilSymb,""
latex-presentation,Minimalist LaTeX Template for Academic Presentations,presentation,pmichaillat,\,\,https://github.com/pmichaillat/latex-presentation,later
musixtex,MusiXTeX – Sophisticated music typesetting,music,"Jean-Pierre Coulon,Hiroaki Morimoto,Don Simons,Bob Tennent,Olivier Vogel,Andreas Egler (inactive),Ross Mitchell (inactive),Daniel Taupin (deceased)",https://ctan.org/pkg/musixtex,https://mirrors.ctan.org/macros/generic/musixtex/README,https://ctan.org/tex-archive/macros/generic/musixtex,""
nunito,Nunito – The Nunito font face with support for LaTeX and pdfLaTeX,"font type1,body font,font,font support,otf font,font t1enc,sans font,proportional font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/nunito,https://mirrors.ctan.org/fonts/nunito/README,https://github.com/ccebinger/CTAN_Nunito,""
osda,OSDA – Commands for Proceedings of the Workshop on Open-Source Design Automation,"footnote,journal",Christian Krieg,https://osda.ws/,https://mirrors.ctan.org/macros/latex/contrib/osda/README.md,https://github.com/osda-ws/latex-osda,""
oldstandard,OldStandard – OldStandard fonts with LaTeX support,"font serif,cyrillic font,font,otf font,proportional font,maths font,font type1,greek font,body font,multilingual font,font t1enc,font support","Robert Alessi,Nikola Lečić,Bob Tennent,Antonis Tsolomitis,Alexey Kryukov (inactive)",https://www.ctan.org/pkg/oldstandard,https://mirrors.ctan.org/fonts/oldstandard/README,https://www.ctan.org/pkg/oldstandard,""
onedown,OneDown – Typeset Bridge Diagrams,games,Jacob Wiersma,https://www.ctan.org/pkg/onedown,https://mirrors.ctan.org/macros/latex/contrib/onedown/README,https://www.ctan.org/tex-archive/macros/latex/contrib/onedown,""
optex,OpTeX – LuaTeX format based on Plain TeX and OPmac,"format,luatex,plain ext",Petr Olšák,https://petr.olsak.net/optex/,https://mirrors.ctan.org/macros/optex/README,https://www.ctan.org/tex-archive/macros/optex,""
oswald,Oswald – The Oswald family of fonts with support for LaTeX and pdfLaTeX,"proportional font,sans font,font support,font,font type1,font t1enc",Carl-Clemens Ebinger,https://www.ctan.org/pkg/oswald,https://mirrors.ctan.org/fonts/oswald/README,https://github.com/ccebinger/CTAN_Oswald,""
outilsgeomtikz,"OutilsGeomTikZ – Some geometric tools, with TikZ","pgf tikz,graphics",Cédric Pierquet,https://www.ctan.org/tex-archive/graphics/pgf/contrib/outilsgeomtikz,https://mirrors.ctan.org/graphics/pgf/contrib/outilsgeomtikz/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/outilsgeomtikz,""
petri-nets,Petri-nets – A set TeX/LaTeX packages for drawing Petri nets,maths,Franck Pommereau,https://www.ctan.org/pkg/petri-nets,https://mirrors.ctan.org/macros/generic/petri-nets/README,https://www.ctan.org/tex-archive/macros/generic/petri-nets,""
pixelarttikz,"PixelArtTikz – Work with PixelArts, with TikZ","pgf tikz,graphics",Cédric Pierquet,https://www.ctan.org/pkg/pixelarttikz,https://mirrors.ctan.org/graphics/pgf/contrib/pixelarttikz/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/pixelarttikz,""
puyotikz,PuyoTikZ – Quickly typeset board states of Puyo Puyo games,"graphics,games,pgf tikz",Alexander Osborne,https://www.ctan.org/pkg/puyotikz,https://mirrors.ctan.org/graphics/pgf/contrib/puyotikz/README.md,https://github.com/amosborne/puyotikz,""
pyluatex,PyLuaTeX – Execute Python code on the fly in your LaTeX documents,"luatex,callback",Tobias Enderle,https://www.ctan.org/pkg/pyluatex,https://mirrors.ctan.org/macros/luatex/latex/pyluatex/README.md,https://github.com/tndrle/PyLuaTeX,""
q-and-a,Q-and-A,"class,multi-lingual,article-like",Jinwen XU,https://www.ctan.org/pkg/q-and-a,https://mirrors.ctan.org/macros/latex/contrib/q-and-a/README.md,https://github.com/Jinwen-XU/Q-and-A,later
rrgtrees,RRGtrees – Linguistic tree diagrams for Role and Reference Grammar (RRG) with LaTeX,"tree,linguistic",David Gardner,https://www.ctan.org/pkg/rrgtrees,https://mirrors.ctan.org/macros/latex/contrib/rrgtrees/README,https://www.ctan.org/tex-archive/macros/latex/contrib/rrgtrees,""
sqltex,SQLTeX – An SQL Preprocessor for LaTeX,db access,Oscar van Eijk,https://www.ctan.org/pkg/sqltex,https://mirrors.ctan.org/support/sqltex/README.md,https://github.com/oveas/sqltex,""
sagetex,Sagε-TeX – Embed Sage code and plots into LaTeX,"litprog,graphics inline,callback","Dima Pasechnik,Dan Drake (inactive)",https://www.ctan.org/pkg/sagetex,https://mirrors.ctan.org/macros/latex/contrib/sagetex/README.md,https://github.com/sagemath/sagetex,""
scrabble,Scrabble – Commands for Scrabble boards,"pgf tikz,games",Cédric Pierquet,https://www.ctan.org/pkg/scrabble,https://mirrors.ctan.org/graphics/pgf/contrib/scrabble/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/scrabble,""
scratchx,ScratchX – Include Scratch programs in LaTeX documents,"games,pgf tikz",Thibault Ralet,https://www.ctan.org/pkg/scratchx,https://mirrors.ctan.org/macros/latex/contrib/scratchx/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/scratchx,""
shadethm,Shaded theorems – Theorem environments that are shaded,"maths theorem,decoration",Jim Hefferon,https://www.ctan.org/pkg/shadethm,https://mirrors.ctan.org/macros/latex/contrib/shadethm/README,https://www.ctan.org/tex-archive/macros/latex/contrib/shadethm,""
spelatex,SpeLaTeX – Create PDF documents with hyperlinks to audiofragments,multimedia,Walter Daems,https://www.ctan.org/pkg/spelatex,https://mirrors.ctan.org/macros/latex/contrib/spelatex/README,https://www.ctan.org/tex-archive/macros/latex/contrib/spelatex,later
swimgraf,Swimgraf – Graphical/textual representations of swimming performances,data display,Martin J. Osborne,https://www.ctan.org/pkg/swimgraf,https://mirrors.ctan.org/macros/latex/contrib/swimgraf/README,https://www.ctan.org/tex-archive/macros/latex/contrib/swimgraf,""
tangramtikz,"TangramTikZ – Tangram puzzles, with TikZ","pgf tikz,puzzle,games",Cédric Pierquet,https://www.ctan.org/pkg/tangramtikz,https://mirrors.ctan.org/graphics/pgf/contrib/tangramtikz/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tangramtikz,""
tex-nutshell,TeX-nutshell,"documentation,tutorial plaintex",Petr Olšák,https://www.ctan.org/pkg/tex-nutshell,https://mirrors.ctan.org/info/tex-nutshell/README,https://www.ctan.org/tex-archive/info/tex-nutshell,""
TeX4ht,TeX4ht – Convert (La)TeX to HTML/XML,convert html,"The TeX4ht Team,Eitan M. Gurari (deceased)",https://tug.org/tex4ht,https://mirrors.ctan.org/support/TeX4ht/README,https://www.ctan.org/tex-archive/support/TeX4ht,""
texblend,TeXBlend – Compile segments of LaTeX documents,"use lua,compiler management,conditional compilation,compilation",Michal Hoftich,https://www.kodymirus.cz/texblend/,https://mirrors.ctan.org/support/texblend/README,https://www.ctan.org/tex-archive/support/texblend,""
texbytopic,TeXbyTopic – Freed version of the book TeX by Topic,"book source,tutorial plaintex,latex reference",Victor Eijkhout,https://www.eijkhout.net/tex/tex-by-topic.html,https://mirrors.ctan.org/info/texbytopic/README,https://www.ctan.org/tex-archive/info/texbytopic,""
texcount,TeXcount – Count words in a LaTeX document,word count,Einar Andreas Rødland,https://app.uio.no/ifi/texcount/,https://mirrors.ctan.org/support/texcount/README.md,https://www.ctan.org/tex-archive/support/texcount,""
texmate,TeXmate – Comprehensive chess annotation in LaTeX,games,Federico Garcia-De Castro,https://www.ctan.org/pkg/texmate,https://mirrors.ctan.org/macros/latex/contrib/texmate/README,https://www.ctan.org/tex-archive/macros/latex/contrib/texmate,""
texmuse,TeXmuse – Music typesetting system using TeX and METAFONT,music,Federico Garcia-De Castro,https://www.ctan.org/pkg/texmuse,https://mirrors.ctan.org/obsolete/macros/texmuse/README,https://www.ctan.org/tex-archive/obsolete/macros/texmuse,""
technica,Technica – Typesetting for the humanities,humanities,Gianfranco Boggio-Togna,https://www.ctan.org/pkg/technica,https://mirrors.ctan.org/macros/latex/contrib/technica/README,https://www.ctan.org/tex-archive/macros/latex/contrib/technica,""
comprehensive,The Comprehensive LaTeX Symbol List – Symbols accessible from LaTeX,"latex reference,font index",Scott Pakin,https://www.ctan.org/pkg/comprehensive,https://mirrors.ctan.org/info/symbols/comprehensive/README,https://www.ctan.org/tex-archive/info/symbols/comprehensive,""
xcoffins,The LaTeX Project Team,"boxing,latex3,pre release",The LaTeX Project Team,https://www.ctan.org/pkg/xcoffins,https://mirrors.ctan.org/macros/latex/contrib/l3experimental/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/l3experimental,""
thesis-invitation,Thesis invitation,"card,rsvp-cards",logological,\,\,https://github.com/logological/thesis-invitation,""
tikz-bagua,TikZ-Bagua – Draw Bagua symbols in Yijing,"numbers,pgf tikz",Xu WANG,https://www.ctan.org/pkg/tikz-bagua,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-bagua/README.md,https://github.com/duplli,""
tikz-feynhand,TikZ-FeynHand – Feynman diagrams with TikZ,"pgf tikz,physics",Max Dohse,https://www.ctan.org/pkg/tikz-feynhand,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-feynhand/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-feynhand,""
tikz-planets,TikZ-planets – Illustrate celestial mechanics and the solar system,"graphics,astronomy,pgf tikz",Isabelle M. Santos,https://www.ctan.org/pkg/tikz-planets,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-planets/README.md,https://framagit.org/Moutmout/tikz-planets,""
tikzbricks,TikZbricks – Drawing bricks with TikZ,"graphics,amusements,pgf tikz",samcarter,https://www.ctan.org/pkg/tikzbricks,https://mirrors.ctan.org/graphics/pgf/contrib/tikzbricks/README.md,https://github.com/samcarter/tikzbricks,""
tikzducks,TikZducks – A little fun package for using rubber ducks in TikZ,"pgf tikz,graphics,amusements",samcarter,https://ctan.org/pkg/tikzducks,https://mirrors.ctan.org/graphics/pgf/contrib/tikzducks/README.md,https://github.com/samcarter/tikzducks,later
tikzlings,TikZlings – A collection of cute little animals and similar creatures,"pgf tikz,graphics,amusements",samcarter,https://www.ctan.org/pkg/tikzlings,https://mirrors.ctan.org/graphics/pgf/contrib/tikzlings/README.md,https://github.com/samcarter/tikzlings,""
tikzmarmots,TikZmarmots – Drawing little marmots in TikZ,"graphics,pgf tikz,amusements",samcarter,https://www.ctan.org/pkg/tikzmarmots,https://mirrors.ctan.org/graphics/pgf/contrib/tikzmarmots/README.md,https://github.com/samcarter/tikzmarmots,""
tikzpingus,TikZpingus – Penguins with TikZ,"pgf tikz,graphics,amusements",Florian Sihler,https://ctan.org/pkg/tikzpingus,https://mirrors.ctan.org/graphics/pgf/contrib/tikzpingus/README.md,https://github.com/EagleoutIce/tikzpingus,""
visualpstricks,VisualPSTricks – Visual help for PSTricks based on images with minimum text,"pstricks,graphics in tex,graphics documentation",Jean Pierre Casteleyn,https://www.ctan.org/pkg/visualpstricks,https://mirrors.ctan.org/info/visualpstricks/README.txt,https://www.ctan.org/tex-archive/info/visualpstricks,""
webquiz,WebQuiz – Write interactive web based quizzes,"exam,convert html",Andrew Mathas,https://www.ctan.org/pkg/webquiz,https://mirrors.ctan.org/macros/latex/contrib/webquiz/README,https://github.com/AndrewAtLarge/WebQuiz,""
writeongrid,WriteOnGrid – Write on grid lines,"pgf tikz,typeset grid",Cédric Pierquet,https://www.ctan.org/pkg/writeongrid,https://mirrors.ctan.org/macros/latex/contrib/writeongrid/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/writeongrid,""
xcharter,XCharter – Extension of Bitstream Charter fonts,"body font,font support,font type1,font t1enc,proportional font,otf font,cyrillic font,multilingual font,font serif,font",Michael Sharpe,https://www.ctan.org/pkg/xcharter,https://mirrors.ctan.org/fonts/xcharter/README,https://www.ctan.org/tex-archive/fonts/xcharter,""
ysabeau,Ysabeau – Ysabeau fonts with LaTeX support for traditional TeX engines,"proportional font,font t1enc,font,otf font,body font,font support,font ttf,font type1,cyrillic font,sans font",Noel Merino Hernández,https://www.ctan.org/pkg/ysabeau,https://mirrors.ctan.org/fonts/ysabeau/README,https://github.com/CatharsisFonts/Ysabeau,""
abraces,abraces – Asymmetric over-/underbraces in maths,"maths,maths symbol",Werner Grundlingh,https://www.ctan.org/pkg/abraces,https://mirrors.ctan.org/macros/latex/contrib/abraces/README.md,https://github.com/wgrundlingh/abraces,""
abspos,abspos – Absolute placement with coffins,layout,Magnus Lie Hetland,https://www.ctan.org/pkg/abspos,https://mirrors.ctan.org/macros/latex/contrib/abspos/README.md,https://github.com/mlhetland/abspos.sty,""
academicons,academicons – Font containing high quality icons of online academic profiles,"font,font symbol,font supp symbol,font ttf",Diogo A. B. Fernandes,https://www.ctan.org/pkg/academicons,https://mirrors.ctan.org/fonts/academicons/README,https://github.com/diogo-fernan/academicons,""
accanthis,"accanthis – Accanthis fonts, with LaTeX support","font type1,otf font,body font,proportional font,font t1enc,font,font serif,font support",Bob Tennent,https://www.ctan.org/pkg/accanthis,https://mirrors.ctan.org/fonts/accanthis/README,https://www.ctan.org/tex-archive/fonts/accanthis,""
acmart,acmart – Class for typesetting publications of ACM,"journal,engineering,class,computer science,computer theory",Boris Veytsman,https://www.ctan.org/pkg/acmart,https://mirrors.ctan.org/macros/latex/contrib/acmart/README,https://github.com/borisveytsman/acmart/,""
acro,acro – Typeset acronyms,acronym,Clemens Niederberger,https://www.ctan.org/pkg/acro,https://mirrors.ctan.org/macros/latex/contrib/acro/README,https://github.com/cgnieder/acro/,""
addfont,addfont – Easier use of fonts without LaTeX support,"font use,font management",Palle Jørgensen,https://www.ctan.org/pkg/addfont,https://mirrors.ctan.org/macros/latex/contrib/addfont/README,https://www.ctan.org/tex-archive/macros/latex/contrib/addfont,cache
adigraph,adigraph – Augmenting directed graphs,"pgf tikz,diagrams",Luca Cappelletti,https://www.ctan.org/pkg/adigraph,https://mirrors.ctan.org/graphics/pgf/contrib/adigraph/README.md,https://github.com/LucaCappelletti94/adigraph,""
adjmulticol,adjmulticol – Adjusting margins for multicolumn and single column output,"multicolumn,layout",Boris Veytsman,https://www.ctan.org/pkg/adjmulticol,https://mirrors.ctan.org/macros/latex/contrib/adjmulticol/README,https://github.com/borisveytsman/adjmulticol,""
adjustbox,adjustbox – Graphics package-alike macros for “general” boxes,"box manipulation,box breaking,typesetting",Martin Scharrer,https://www.ctan.org/pkg/adjustbox,https://mirrors.ctan.org/macros/latex/contrib/adjustbox/README.txt,https://github.com/MartinScharrer/adjustbox,later
aiplans,aiplans – A TikZ-based library for drawing POCL plans,"automata,graphics,pgf tikz","Pascal Bercher,Yikai Ge",https://www.ctan.org/pkg/aiplans,https://mirrors.ctan.org/graphics/pgf/contrib/aiplans/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/aiplans,""
alchemist,alchemist – Typeset alchemist and astrological symbols,"unicode,font supp symbol,astrology",Engelbert Buxbaum,https://www.ctan.org/pkg/alchemist,https://mirrors.ctan.org/macros/unicodetex/latex/alchemist/README.md,https://www.ctan.org/tex-archive/macros/unicodetex/latex/alchemist,""
alegreya,alegreya – Alegreya fonts with LaTeX support,"font,proportional font,font type1,body font,font serif,font t1enc,sans font,otf font",Bob Tennent,https://www.ctan.org/pkg/alegreya,https://mirrors.ctan.org/fonts/alegreya/README,https://www.ctan.org/tex-archive/fonts/alegreya,""
