package,title,topic,maintainer,url,readme,source,mark
progressbar,progressbar – Visualize shares of total amounts in the form of a (progress-)bar,graphics use,Marcel Jira,https://www.ctan.org/pkg/progressbar,https://mirrors.ctan.org/macros/latex/contrib/progressbar/README,https://www.ctan.org/tex-archive/macros/latex/contrib/progressbar,later
proofread,proofread – Commands for inserting annotations,"editorial,decoration",Wybo H. Dekker,https://www.ctan.org/pkg/proofread,https://mirrors.ctan.org/macros/latex/contrib/proofread/README,https://www.ctan.org/tex-archive/macros/latex/contrib/proofread,later
prooftrees,prooftrees – Forest-based proof trees (symbolic logic),"tree,logic,pgf tikz",Clea F. Rees,https://www.ctan.org/pkg/prooftrees,https://mirrors.ctan.org/graphics/pgf/contrib/prooftrees/README.md,https://codeberg.org/cfr/prooftrees,""
protosem,protosem – Fonts for proto-Semitic cuneiform script,"font type1,archaic font,font,mf font",Peter R. Wilson,https://www.ctan.org/pkg/protosem,https://mirrors.ctan.org/fonts/archaic/protosem/README,https://www.ctan.org/tex-archive/fonts/archaic/protosem,""
psbao,psbao – Draw Bao diagrams,games,Nino Vessella,https://www.ctan.org/pkg/psbao,https://mirrors.ctan.org/graphics/pstricks/contrib/psbao/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/psbao,""
psgo,psgo – Typeset go diagrams with PSTricks,"games,pstricks",Victor Bos,https://www.ctan.org/pkg/psgo,https://mirrors.ctan.org/graphics/pstricks/contrib/psgo/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/psgo,""
pst-2dplot,pst-2dplot – A PSTricks package for drawing 2D curves,"graphics plot,pstricks",Farshid Delgosha,https://www.ctan.org/pkg/pst-2dplot,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-2dplot/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-2dplot,""
pst-3dplot,"pst-3dplot – Draw 3D objects in parallel projection, using PSTricks","3d graphics,pstricks,graphics plot",Herbert Voß,https://www.ctan.org/pkg/pst-3dplot,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-3dplot/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-3dplot,""
pst-jtree,pst-Jtree – Typeset complex trees for linguists,"linguistic,pstricks,tree",John Frampton,https://www.ctan.org/pkg/pst-jtree,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-jtree/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-jtree,""
pst-am,pst-am – Simulation of modulation and demodulation,"diagrams,pstricks","Manuel Luque,Herbert Voß",https://www.ctan.org/pkg/pst-am,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-am/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-am,""
pst-antiprism,pst-antiprism – A PSTricks related package which draws an antiprism,"graphics,pstricks","Manuel Luque,Herbert Voß",https://www.ctan.org/pkg/pst-antiprism,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-antiprism/README.md,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-antiprism,""
pst-arrow,pst-arrow – Special arrows for PSTricks,pstricks,Herbert Voß,https://www.ctan.org/pkg/pst-arrow,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-arrow/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-arrow,""
pst-asr,pst-asr – Typeset autosegmental representations for linguists,"linguistic,pstricks",John Frampton,https://www.ctan.org/pkg/pst-asr,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-asr/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-asr,""
pst-bar,pst-bar – Produces bar charts using PSTricks,"gen chart,pstricks","Alan Ristow,Herbert Voß",https://www.ctan.org/pkg/pst-bar,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-bar/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-bar,""
pst-barcode,pst-barcode – Print barcodes using PostScript,"pstricks,qr code,barcode","Terry Burton,Herbert Voß",https://www.ctan.org/pkg/pst-barcode,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-barcode/README.md,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-barcode,""
pst-bezier,pst-bezier – Draw Bezier curves,"curve graphics,pstricks","Tobias Nähring,Herbert Voß",https://www.ctan.org/pkg/pst-bezier,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-bezier/README.md,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-bezier,""
pst-blur,"pst-blur – PSTricks package for ""blurred"" shadows","graphics subpic,pstricks","Martin Giese,Herbert Voß",https://www.ctan.org/pkg/pst-blur,https://mirrors.ctan.org/graphics/pstricks/contrib/pst-blur/README,https://www.ctan.org/tex-archive/graphics/pstricks/contrib/pst-blur,""
